release_date,title,production_budget,domestic_gross,worldwide_gross,studio,foreign_gross,release_season,profit
2011-09-30 00:00:00,50/50,8000000.0,1400000.0,41334735.0,unknown,18700000.0,Fall,33334735.0
2006-10-18 00:00:00,51 Birch Street,350000.0,1400000.0,84689.0,unknown,18700000.0,Fall,-265311.0
1998-08-28 00:00:00,54,13000000.0,1400000.0,16757163.0,unknown,18700000.0,Summer,3757163.0
1963-05-29 00:00:00,55 Days at Peking,17000000.0,1400000.0,10000000.0,unknown,18700000.0,Spring,-7000000.0
unknown,6 Below: Miracle on the Mountain,17000000.0,14800.0,1114800.0,MOM,1100000.0,Winter,-15885200.0
unknown,6 Souls,17000000.0,1400000.0,2252000.0,RTWC,852000.0,Winter,-14748000.0
unknown,7 Boxes,17000000.0,38100.0,305100.0,BGP,267000.0,Winter,-16694900.0
unknown,7 Days in Entebbe,17000000.0,3300000.0,8700000.0,Focus,5400000.0,Winter,-8300000.0
unknown,7 Khoon Maaf,17000000.0,270000.0,364700.0,UTV,94700.0,Winter,-16635300.0
unknown,71 Into the Fire,17000000.0,177000.0,20977000.0,JS,20800000.0,Winter,3977000.0
2015-10-13 00:00:00,8 Days,2500000.0,1400000.0,0.0,unknown,18700000.0,Fall,-2500000.0
1997-04-18 00:00:00,8 Heads in a Duffel Bag,3000000.0,1400000.0,4002884.0,unknown,18700000.0,Spring,1002884.0
2002-11-08 00:00:00,8 Mile,41000000.0,1400000.0,245768384.0,unknown,18700000.0,Fall,204768384.0
1986-04-25 00:00:00,8 Million Ways to Die,18000000.0,1400000.0,1305114.0,unknown,18700000.0,Spring,-16694886.0
2002-09-20 00:00:00,8 femmes,8000000.0,1400000.0,42376425.0,unknown,18700000.0,Fall,34376425.0
2008-04-18 00:00:00,88 Minutes,30000000.0,1400000.0,32955399.0,unknown,18700000.0,Spring,2955399.0
2010-06-18 00:00:00,8: The Mormon Proposition,2500000.0,1400000.0,100280.0,unknown,18700000.0,Summer,-2399720.0
1999-02-26 00:00:00,8MM,40000000.0,1400000.0,96398826.0,unknown,18700000.0,Winter,56398826.0
2009-09-09 00:00:00,9,30000000.0,1400000.0,48559999.0,unknown,18700000.0,Fall,18559999.0
2015-09-11 00:00:00,90 Minutes in Heaven,5000000.0,1400000.0,4816142.0,unknown,18700000.0,Fall,-183858.0
unknown,99 Homes,17000000.0,1400000.0,20100000.0,BG,18700000.0,Winter,3100000.0
unknown,A Bad Moms Christmas,17000000.0,72100000.0,130500000.0,STX,58400000.0,Winter,113500000.0
2017-11-01 00:00:00,A Bad Moms Christmas,28000000.0,1400000.0,127710550.0,unknown,18700000.0,Fall,99710550.0
unknown,A Beautiful Life,17000000.0,66200.0,18766200.0,CL,18700000.0,Winter,1766200.0
2001-12-21 00:00:00,A Beautiful Mind,78000000.0,1400000.0,317668058.0,unknown,18700000.0,Winter,239668058.0
unknown,A Beautiful Planet,17000000.0,15500000.0,24900000.0,Imax,9400000.0,Winter,7900000.0
unknown,A Better Life,17000000.0,1800000.0,20500000.0,Sum.,18700000.0,Winter,3500000.0
2011-06-24 00:00:00,A Better Life,10000000.0,1400000.0,1884251.0,unknown,18700000.0,Summer,-8115749.0
unknown,A Bigger Splash,17000000.0,2000000.0,7500000.0,FoxS,5500000.0,Winter,-9500000.0
unknown,A Borrowed Identity,17000000.0,282000.0,18982000.0,Strand,18700000.0,Winter,1982000.0
unknown,A Bottle in the Gaza Sea,17000000.0,5900.0,311900.0,FM,306000.0,Winter,-16688100.0
1977-06-15 00:00:00,A Bridge Too Far,26000000.0,1400000.0,50800000.0,unknown,18700000.0,Summer,24800000.0
unknown,A Brilliant Young Mind,17000000.0,172000.0,18872000.0,Gold.,18700000.0,Winter,1872000.0
1998-11-20 00:00:00,A Bug's Life,45000000.0,1400000.0,363095319.0,unknown,18700000.0,Fall,318095319.0
